neuron_id,subject_id,subject_int,cell_idx,roi,MNI_x,MNI_y,MNI_z,lag30_r,lag60_r,high_lag30,high_lag60,high_both,high_group
03_02-02-GA1-RAC4-ACC,3,3,2,ACC,2.99,38.83,5.76,0.22517340732689994,0.6347020447629474,True,True,True,high 30 and 60
03_04-04-GA1-RAC6-ACC,3,3,4,ACC,2.99,38.83,5.76,0.3482335809097323,0.31446890665608046,True,True,True,high 30 and 60
03_03-03-GA1-RAC5-ACC,3,3,3,ACC,2.99,38.83,5.76,-0.024495631119056994,0.2105505993659288,False,True,False,high 60 only
03_01-01-GA1-RAC1-ACC,3,3,1,ACC,2.99,38.83,5.76,-0.07562921350588629,0.7112917911042164,False,True,False,high 60 only
06_11-11-chan112-LvCC,6,6,11,ACC,-3.91349268,46.10324937,9.599996209,0.008119479860094161,-0.014945243414174655,False,False,False,neither
06_08-08-chan107-LvCC,6,6,8,ACC,-1.513703823,46.10324937,9.599996209,0.11668265817764449,0.09754828365115369,True,True,True,high 30 and 60
06_03-03-chan99-OFC,6,6,3,ACC,-2.518589735,37.17711539,-13.49603658,-0.06090475472850581,0.012791237729503788,False,False,False,neither
06_06-06-chan101-OFC,6,6,6,ACC,-2.713598251,46.10324937,-2.800003052,-0.2074445026430087,0.07831531590989696,False,True,False,high 60 only
06_10-10-chan110-LvCC,6,6,10,ACC,-3.91349268,47.30297518,9.599996209,0.16281954391677822,0.023226073691128155,True,False,False,high 30 only
06_09-09-chan108-LvCC,6,6,9,ACC,-2.023145945,39.15865647,1.159557735,-0.12985168603046263,0.08767329240304533,False,True,False,high 60 only
07_02-02-mLF2aCa01-ACC,7,7,2,ACC,-8.11670945,31.98730096,22.586895,-0.16641066981827304,-0.09997265337080616,False,False,False,neither
07_04-04-mLF2aCa08-ACC,7,7,4,ACC,-8.11670945,31.98730096,22.586895,-0.03269345859568276,-0.030475916660181134,False,False,False,neither
07_05-05-mLF2aCa08-ACC,7,7,5,ACC,-8.11670945,31.98730096,22.586895,0.00434169113808816,0.02866693127605856,False,False,False,neither
07_01-01-mLF2aCa01-ACC,7,7,1,ACC,-8.11670945,31.98730096,22.586895,0.028067523636104288,-0.19377804707619256,False,False,False,neither
07_03-03-mLF2aCa04-ACC,7,7,3,ACC,-8.11670945,31.98730096,22.586895,0.08588935706105046,0.11887068300347631,True,True,True,high 30 and 60
08_02-02-mLF2aCa01-ACC,8,8,2,ACC,-8.11670945,31.98730096,22.586895,-0.06483263059277129,0.35674148414209306,False,True,False,high 60 only
08_04-04-mLF2aCa08-ACC,8,8,4,ACC,-8.11670945,31.98730096,22.586895,-0.023037221110154438,0.14105451712252873,False,True,False,high 60 only
08_03-03-mLF2aCa08-ACC,8,8,3,ACC,-8.11670945,31.98730096,22.586895,0.04182189658582611,-0.10974904026135185,False,False,False,neither
08_01-01-mLF2aCa01-ACC,8,8,1,ACC,-8.11670945,31.98730096,22.586895,0.09580880023141099,0.07106061524680295,True,False,False,high 30 only
09_04-04-mLF2aCa08-ACC,9,9,4,ACC,-8.11670945,31.98730096,22.586895,0.009564134852171021,-0.19306192660644494,False,False,False,neither
09_01-01-mLF2aCa07-ACC,9,9,1,ACC,-8.11670945,31.98730096,22.586895,-0.2206833085380098,-0.035660698285888685,False,False,False,neither
09_05-05-mLF2aCa08-ACC,9,9,5,ACC,-8.11670945,31.98730096,22.586895,0.06251984392359407,-0.09330925797828264,False,False,False,neither
09_03-03-mLF2aCa08-ACC,9,9,3,ACC,-8.11670945,31.98730096,22.586895,0.05165062776173327,0.24867248382694176,False,True,False,high 60 only
09_02-02-mLF2aCa07-ACC,9,9,2,ACC,-8.11670945,31.98730096,22.586895,-0.20060156906877324,-0.06881165307106667,False,False,False,neither
15_07-07-mRF2Ca08-ACC,15,15,7,ACC,4.38826511,47.84270492,2.36404826,0.4009814697301646,0.21191160320382965,True,True,True,high 30 and 60
15_06-06-mRF2Ca03-ACC,15,15,6,ACC,4.38826511,47.84270492,2.36404826,-0.10215007333629816,0.09985483304115107,False,True,False,high 60 only
15_08-08-mRF2Ca08-ACC,15,15,8,ACC,4.38826511,47.84270492,2.36404826,0.021426314219586743,-0.08502335354574457,False,False,False,neither
15_05-05-mRF2Ca03-ACC,15,15,5,ACC,4.38826511,47.84270492,2.36404826,-0.07291782094323009,-0.16009387024488037,False,False,False,neither
15_04-04-mRF2Ca02-ACC,15,15,4,ACC,4.38826511,47.84270492,2.36404826,-0.07031531986001065,-0.0011621792975920013,False,False,False,neither
17_02-02-chan98-ACC,17,17,2,ACC,-0.678301117,30.58901907,9.550748875,-0.023002557413561452,0.07849299031712816,False,True,False,high 60 only
17_01-01-chan98-ACC,17,17,1,ACC,-0.678301117,30.58901907,9.550748875,-0.013125587960401216,-0.1352856361919673,False,False,False,neither
18_10-10-mLF2Ca04-ACC,18,18,10,ACC,-9.754518119999998,39.80010207,1.42713703,-0.056747931943315934,-0.0015863989855763852,False,False,False,neither
18_15-15-mLF2Ca06-ACC,18,18,15,ACC,-9.754518119999998,39.80010207,1.42713703,0.0830275883801422,0.019394801199104816,True,False,False,high 30 only
18_11-11-mLF2Ca04-ACC,18,18,11,ACC,-9.754518119999998,39.80010207,1.42713703,0.19473861840992068,-0.05671062065902608,True,False,False,high 30 only
